Metabolite_name,Smiles,HMR_database_2_00_row
2-oxo-3-methylvalerate[m], CCC(C)C(=O)C(=O)O, 1114
2-oxoadipate[m], C(CC(=O)C(=O)O)CC(=O)O, 1115
2-oxobutyrate[c], CCC(=O)C(=O)O, 1117
2-oxobutyrate[m], CCC(=O)C(=O)O, 1118
2-phospho-D-glycerate[c], C([C@H](C(=O)O)OP(=O)(O)O)O, 1122
3-beta-D-glucuronosyl-3-beta-D-galactosyl-4-beta-D-galactosyl-O-beta-D-xylosylprotein[g], NC(=O)[C](CO[C@]1OC[C@@](O[C@]2O[C@@](CO)[C@@](O)[C@@](O[C@]3O[C@@](CO)[C@@](O)[C@@](O[C@]4O[C@@](C(=O)O)[C@](O)[C@@](O)[C@@]4O)[C@@]3O)[C@@]2O)[C@](O)[C@@]1O)NC=O, 1255
3-hydroxyheptadecanoyl-[ACP][c], CCCCCCCCCCCCCCC(O)CC(=O)S, 1280
3-hydroxyheptanoyl-[ACP][c], CCCCC(O)CC(=O)S, 1282
3-hydroxyisobutyrate[m], C[C](CO)C(=O)O, 1286
3-hydroxyisobutyryl-CoA[m], CC(CO)C(=O)SCCNC(=O)CCNC(=O)[C](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@]1O[C@](n2cnc3c(N)ncnc32)[C@@](O)[C@@]1OP(=O)(O)O, 1287
3-hydroxynonanoyl-[ACP][c], CCCCCCC(O)CC(=O)S, 1294
3-hydroxyoctadecanoyl-CoA[c], CCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O, 1298
3-hydroxypentadecanoyl-[ACP][c], CCCCCCCCCCCCC(O)CC(=O)S, 1299
3-hydroxypentanoyl-[ACP][c], CCC(O)CC(=O)S, 1301
3-hydroxytridecanoyl-[ACP][c], CCCCCCCCCCC(O)CC(=O)S, 1309
3-hydroxyundecanoyl-[ACP][c], CCCCCCCCC(O)CC(=O)S, 1311
3-keto-4-methylzymosterol[c], CC1C2CCC3=C([C@]2(CCC1=O)C)CC[C@]4(C3CCC4[C@H](C)CCC=C(C)C)C, 1315
3-methyl-2-oxobutyrate[c], CC(C)C(=O)C(=O)O, 1331
3-methyl-2-oxobutyrate[m], CC(C)C(=O)C(=O)O, 1332
3-methylcrotonyl-CoA[m], CC(=CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C, 1334
3-methylglutaconyl-CoA[m], C/C(=C\C(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)/CC(=O)O, 1335
3-oxodecanoyl-[ACP][c], CCCCCCCC(=O)CC(=O)S, 1385
3-oxododecanoyl-[ACP][c], CCCCCCCCCC(=O)CC(=O)S, 1400
3-oxoheptadecanoyl-[ACP][c], CCCCCCCCCC(=O)CCCCCCC(=O)S, 1411
3-oxoheptanoyl-[ACP][c], CCCCC(=O)CC(=O)S, 1413
3-oxohexadecanoyl-[ACP][c], CCCCCCCCCCCCCC(=O)CC(=O)S, 1419
3-oxohexanoyl-[ACP][c], CCCC(=O)CC(=O)S, 1420
3-oxononanoyl-[ACP][c], CCCCCCC(=O)CC(=O)S, 1433
3-oxooctadecanoyl-CoA[c], CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@]1O[C@@](n2cnc3c(N)ncnc32)[C@](O)[C@@]1OP(=O)(O)O, 1435
3-oxooctanoyl-[ACP][c], CCCCCC(=O)CC(=O)S, 1438
3-oxopentadecanoyl-[ACP][c], CCCCCCCCCCCCC(=O)CC(=O)S, 1447
3-oxopentanoyl-[ACP][c], CCC(=O)CC(=O)S, 1449
3-oxotetradecanoyl-[ACP][c], CCCCCCCCCCCC(=O)CC(=O)S, 1457
3-oxotridecanoyl-[ACP][c], CCCCCCCCCCC(=O)CC(=O)S, 1461
3-oxoundecanoyl-[ACP][c], CCCCCCCCC(=O)CC(=O)S, 1463
3-phospho-D-glycerate[c], C([C@H](C(=O)O)OP(=O)(O)O)O, 1466
3-phosphonooxypyruvate[c], O=C(O)C(=O)COP(=O)(O)O, 1468
3-phosphoserine[c], C([C@@H](C(=O)O)N)OP(=O)(O)O, 1470
"4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol[c]", CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(C=O)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3, 1497
"4,4-dimethyl-14alpha-formyl-5alpha-cholesta-8-en-3beta-ol[c]", CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(C=O)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3, 1498
"4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol[c]", CC(C)=CCC[C@@H](C)[C@H]1CC[C@@]2(CO)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3, 1499
"4,4-dimethyl-14alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol[c]", CC(C)CCC[C@@H](C)[C@H]1CC[C@@]2(CO)C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3, 1500
"4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol[c]", CC(C)=CCC[C@@H](C)[C@H]1CC=C2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3, 1501
"4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c]", CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@](C)(C(=O)O)[C@@H]1CC3, 1514
"4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol[c]", CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](C(=O)O)[C@@H]1CC3, 1516
"4alpha-formyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c]", CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@](C)(C=O)[C@@H]1CC3, 1518
"4alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol[c]", CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](C=O)[C@@H]1CC3, 1520
"4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[c]", CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@](C)(CO)[C@@H]1CC3, 1522
"4alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol[c]", CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)[C@@H](CO)[C@@H]1CC3, 1524
4alpha-hydroxytetrahydrobiopterin[c], C[C@@H]([C@@H]([C@H]1CN=C2[C@@](N1)(C(=O)NC(=N2)N)O)O)O, 1526
4alpha-methylzymosterol[c], C[C@H]1[C@@H]2CCC3=C([C@]2(CC[C@@H]1O)C)CC[C@]4([C@H]3CC[C@@H]4[C@H](C)CCC=C(C)C)C, 1530
4-hydroxyphenylpyruvate[c], C1=CC(=CC=C1CC(=O)C(=O)O)O, 1590
4-imidazolone-5-propanoate[c], OC(=O)CCC1N=CNC1=O, 1598
4-maleylacetoacetate[c], C(C(=O)CC(=O)O)C(=O)/C=C\C(=O)O, 1599
4-methyl-2-oxopentanoate[c], CC(C)CC(=O)C(=O)O, 1602
4-methyl-2-oxopentanoate[m], CC(C)CC(=O)C(=O)O, 1603
"5,10-methenyl-THF[c]", C1C2CN(C=[N+]2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)N[C@@H](CCC(=O)O)C(=O)O, 1654
"5,10-methenyl-THF[m]", C1C2CN(C=[N+]2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)N[C@@H](CCC(=O)O)C(=O)O, 1655
"5,10-methylene-THF[c]", C1[C@@H]2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O, 1656
"5,10-methylene-THF[m]", C1[C@@H]2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)NC(CCC(=O)O)C(=O)O, 1657
"5alpha-cholesta-8,24-dien-3-one[c]", CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CCC(=O)C[C@@H]1CC3, 1685
5-formiminotetrahydrofolate[c], C1C(N(C2=C(N1)N=C(NC2=O)N)C=N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O, 1735
5-hydroxy-L-tryptophan[c], C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N, 1745
5-methyl-THF[c], CN1C(CNC2=C1C(=O)NC(=N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O, 1755
5-phosphoribosyl-4-carboxy-5-aminoimidazole[c], C1=NC(=C(N1C2C(C(C(O2)COP(=O)(O)O)O)O)N)C(=O)O, 1786
5-phosphoribosylamine[c], N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O, 1787
5-phosphoribosylformylglycinamidine[c], C([C@@H]1[C@H]([C@H]([C@@H](O1)/N=C(/CNC=O)\N)O)O)OP(=O)(O)O, 1788
6-phospho-D-gluconate[c], C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O, 1848
acetate[c], CC(=O)O, 1975
acetate[g], CC(=O)O, 1976
acetoacetate[c], CC(=O)CC(O)=O, 1982
acetoacetate[m], CC(=O)CC(O)=O, 1983
acetoacetyl-[ACP][c], CC(=O)CC(=O)S, 1984
acetoacetyl-CoA[c], CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O, 1985
acetoacetyl-CoA[m], CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O, 1986
acetyl-[ACP][c], CC(=O)S, 1992
acetyl-CoA[c], CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O, 1997
acetyl-CoA[m], CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O, 1999
adenosine[c], C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N, 2031
adenylosuccinate[c], C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N[C@@H](CC(=O)O)C(=O)O, 2036
adenylyl sulfate[c], C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)O)O)N, 2037
ADP[c], C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N, 2039
ADP[m], C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N, 2042
AICAR[c], NC(=O)c1ncn([C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)c1N, 2077
AIR[c], Nc1c[nH+]cn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O, 2078
AKG[c], C(CC(=O)O)C(=O)C(=O)O, 2079
AKG[m], C(CC(=O)O)C(=O)C(=O)O, 2080
alanine[c], C[C@@H](C(=O)O)N, 2083
alanine[m], C[C@@H](C(=O)O)N, 2085
alanine[s], C[C@@H](C(=O)O)N, 2087
alloxan[c], C1(=O)C(=O)NC(=O)NC1=O, 2100
alloxan[s], C1(=O)C(=O)NC(=O)NC1=O, 2101
AMP[c], C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N, 2129
arginine[c], C(C[C@@H](C(=O)O)N)CN=C(N)N, 2201
arginine[m], C(C[C@@H](C(=O)O)N)CN=C(N)N, 2203
arginine[s], C(C[C@@H](C(=O)O)N)CN=C(N)N, 2204
asparagine[c], C([C@@H](C(=O)O)N)C(=O)N, 2209
aspartate[c], C([C@@H](C(=O)O)N)C(=O)O, 2213
aspartate[m], C([C@@H](C(=O)O)N)C(=O)O, 2215
aspartate[s], C([C@@H](C(=O)O)N)C(=O)O, 2216
ATP[c], C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N, 2217
ATP[m], C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N, 2220
ATP[n], C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N, 2221
but-2-enoyl-[ACP][c], CC=CC(=O)S, 2287
butyryl-[ACP][c], CCCC(=O)S, 2290
carbamoyl-phosphate[c], C(=O)(N)OP(=O)(O)O, 2310
carbamoyl-phosphate[r], C(=O)(N)OP(=O)(O)O, 2312
CDP[c], NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O, 2318
chloride[c], [Cl-], 2359
chloride[s], [Cl-], 2360
cholestenol[c], [H][C@@]12CCC3=C(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)CCCC(C)C)[C@@]1(C)CC[C@H](O)C2, 2372
cholesterol[c], C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C, 2373
choline[c], C[N+](C)(C)CCO, 2505
choline[s], C[N+](C)(C)CCO, 2510
citrate[c], C(C(=O)O)C(CC(=O)O)(C(=O)O)O, 2621
citrate[m], C(C(=O)O)C(CC(=O)O)(C(=O)O)O, 2622
CMP[c], C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O, 2630
CO2[c], O=C=O, 2645
CO2[m], O=C=O, 2647
CO2[s], O=C=O, 2650
CoA[c], CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O, 2651
CoA[m], CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O, 2654
crotonyl-CoA[m], C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O, 2704
CTP[c], C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O, 2706
cysteine[c], C([C@@H](C(=O)O)N)S, 2716
cystine[c], C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N, 2720
cystine[s], C([C@@H](C(=O)O)N)SSC[C@@H](C(=O)O)N, 2721
D-3-hydroxydodecanoyl-[ACP][c], CCCCCCCCC[C](O)CC(=O)S, 2733
D-3-hydroxyhexanoyl-[ACP][c], CCC[C](O)CC(=O)S, 2734
D-4-phosphopantothenate[c], CC(C)(COP(=O)(O)O)[C@H](C(=O)NCCC(=O)O)O, 2735
dADP[c], C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O, 2736
dAMP[c], C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O, 2743
dCDP[c], C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)O)O, 2755
dCMP[c], C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O, 2757
decanoyl-[ACP][c], CCCCCCCCCC(=O)S, 2770
dephospho-CoA[c], CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O)[C@H](C(=O)NCCC(=O)NCCS)O, 2821
dGDP[c], C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)O)O, 2832
dGMP[c], C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)O)O, 2844
DHAP[c], C(C(=O)COP(=O)(O)O)O, 2857
dihydrobiopterin[c], C[C@@H]([C@@H](C1=NC2=C(NC1)N=C(NC2=O)N)O)O, 2879
dihydrofolate[c], C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O, 2881
dimethylallyl-PP[c], CC(=CCOP(=O)(O)OP(=O)(O)O)C, 2893
dodecanoyl-[ACP][c], CCCCCCCCCCCC(=O)S, 2939
dTMP[c], CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)O, 2986
dUDP[c], C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)O)O, 2993
dUMP[c], C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O, 2996
dUTP[m], C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O, 2999
D-xylulose[c], C([C@H]([C@@H](C(=O)CO)O)O)O, 3006
D-xylulose-1-phosphate[c], C([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O, 3007
D-xylulose-5-phosphate[c], C([C@H]([C@@H](C(=O)CO)O)O)OP(=O)(O)O, 3008
erythrose-4-phosphate[c], C([C@H]([C@H](C=O)O)O)OP(=O)(O)O, 3062
ethanolamine[c], NCCO, 3098
FAICAR[c], C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)NC=O)C(=O)N, 3119
farnesyl-PP[c], CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C, 3121
ferricytochrome C[m], CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C)CCC(=O)O)C(=C4C)CCC(=O)O)C(=C3C=C)C)C, 3145
ferrocytochrome C[m], CC1=C(C2=NC1=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=C2)N5)C)CCC(=O)O)CCC(=O)O)C)C)C=C)C, 3146
formate[c], C(=O)O, 3164
formate[s], C(=O)O, 3169
"fructose-1,6-bisphosphate[c]", C([C@@H]1[C@H]([C@@H]([C@@](O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O, 3179
fructose-6-phosphate[c], C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O, 3183
fumarate[c], C(=C/C(=O)O)\C(=O)O, 3212
fumarate[m], C(=C/C(=O)O)\C(=O)O, 3213
fumarylacetoacetate[c], C(C(=O)CC(=O)O)C(=O)/C=C/C(=O)O, 3214
gamma-glutamyl-cysteine[c], C(CC(=O)N[C@@H](CS)C(=O)O)[C@@H](C(=O)O)N, 3292
GAP[c], C([C@@H](C=O)O)OP(=O)([O-])[O-], 3316
GAR[c], [NH3+]CC(=O)NC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O, 3317
GDP[c], C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N, 3333
GDP[m], C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N, 3335
geranyl-PP[c], CC(=CCC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)C, 3343
"glucono-1,5-lactone-6-phosphate[c]", C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)OP(=O)(O)O, 3358
glucosamine-6-phosphate[c], C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O, 3362
glucose[c], C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O, 3365
glucose[s], C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O, 3369
glucose-1-phosphate[c], C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OP(=O)(O)O)O)O)O)O, 3372
glucose-6-phosphate[c], C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O, 3373
glutamate[c], C(CC(=O)[O-])C(C(=O)[O-])[NH3+], 3389
glutamate[m], C(CC(=O)[O-])C(C(=O)[O-])[NH3+], 3391
glutamate[s], C(CC(=O)[O-])C(C(=O)[O-])[NH3+], 3393
glutamine[c], C(CC(=O)N)[C@@H](C(=O)O)N, 3394
glutamine[m], C(CC(=O)N)[C@@H](C(=O)O)N, 3396
glutamine[s], C(CC(=O)N)[C@@H](C(=O)O)N, 3397
